,collector,corpus,date,genre,idnumber,location,motifs,storytype,tradition
793,"Boekenoogen, G.J.",BOEKENOO.20E,1896-01-01 00:00:00,sprookje,BOEKV027,Rotterdam (Zuid-Holland),D1375.1;D1375.2,ATU 0566,tijdschriftartikel
794,"Boekenoogen, G.J.",BOEKENOO.20E,1901-01-01 00:00:00,sprookje,BOEKV028,Brouwershaven (Zeeland),N821;D895;D1470.1;D1376.1,ATU 0566,tijdschriftartikel
795,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV029,Helvoirt (Noord-Brabant),J1853.1.1,ATU 1643,tijdschriftartikel
796,"Boekenoogen, G.J.",BOEKENOO.20E,1893-01-01 00:00:00,sprookje,BOEKV031,Castricum (Noord-Holland),K2371.1.3;D1413.1;K213;Q115;J2071;D1413.5;Q565,ATU 0330,tijdschriftartikel
797,"Boekenoogen, G.J.",BOEKENOO.20E,1892-01-01 00:00:00,sprookje,BOEKV032,'s-Gravenhage (Zuid-Holland),Z111.2;D1413.1;Q565;D1413.5,ATU 0330,tijdschriftartikel
798,"Boekenoogen, G.J.",BOEKENOO.20E,1892-01-01 00:00:00,sprookje,BOEKV033,Alkmaar (Noord-Holland),K557;Z111;D1825.3.1,ATU 0332,tijdschriftartikel
799,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV034,Groningen,B236.0.1;B242.1.2,ATU 0221,tijdschriftartikel
800,"Boekenoogen, G.J.",BOEKENOO.20E,1892-01-01 00:00:00,sprookje,BOEKV035,Gelderland,B236.0.1;B236.1;B242.1.2,ATU 0221,tijdschriftartikel
801,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV036,Maasland (Zuid-Holland),K25.1,ATU 0221A,tijdschriftartikel
802,"Boekenoogen, G.J.",BOEKENOO.20E,1899-01-01 00:00:00,sprookje,BOEKV038,Zevenaar (Gelderland),Z43,ATU 2032,tijdschriftartikel
803,"Boekenoogen, G.J.",BOEKENOO.20E,1893-01-01 00:00:00,sprookje,BOEKV040,'s-Gravenhage (Zuid-Holland),J144;F913,ATU 0123,tijdschriftartikel
804,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV041,Beilen (Drente),K401.1;K372,ATU 0015,tijdschriftartikel
805,"Boekenoogen, G.J.",BOEKENOO.20E,1900-01-01 00:00:00,sprookje,BOEKV043,Zaanstreek (Noord-Holland),K1021,ATU 0002,tijdschriftartikel
806,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV049,Rotterdam (Zuid-Holland),K362.1,ATU 1541,tijdschriftartikel
807,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV050,Rotterdam (Zuid-Holland),J2326,ATU 1540,tijdschriftartikel
808,"Boekenoogen, G.J.",BOEKENOO.20E,1881-01-01 00:00:00,sprookje,BOEKV051,Holland,J2326,ATU 1540,tijdschriftartikel
809,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV052,Beverwijk (Noord-Holland),K301,ATU 1525,tijdschriftartikel
810,"Boekenoogen, G.J.",BOEKENOO.20E,1891-01-01 00:00:00,sprookje,BOEKV053,Noord-Holland,E235.4.1,ATU 0366,tijdschriftartikel
811,"Boekenoogen, G.J.",BOEKENOO.20E,1881-01-01 00:00:00,sprookje,BOEKV054,Alkmaar (Noord-Holland),E235.4.1,ATU 0366,tijdschriftartikel
812,"Bakker, C.",BOEKENOO.20E,1899-01-01 00:00:00,sprookje,BOEKV057,Broek in Waterland (Noord-Holland),E235.4,ATU 0366,tijdschriftartikel
813,"Boekenoogen, G.J.",BOEKENOO.20E,1892-01-01 00:00:00,sprookje,BOEKV058,Terschelling (Friesland),J2461,ATU 1696,tijdschriftartikel
814,"Bakker, C.",BOEKENOO.20E,1901-01-01 00:00:00,sprookje,BOEKV059,Broek in Waterland (Noord-Holland),H1312.1,ATU 1384,tijdschriftartikel
815,"Bakker, C.",BOEKENOO.20E,1901-01-01 00:00:00,sprookje,BOEKV060,Broek in Waterland (Noord-Holland),J2311.4;J2311.1,ATU 1313A,tijdschriftartikel
816,"Bakker, C.",BOEKENOO.20E,1881-01-01 00:00:00,sprookje,BOEKV061,Beets (Noord-Holland),J2311.1,ATU 1313A,tijdschriftartikel
817,"Bakker, C.",BOEKENOO.20E,1901-01-01 00:00:00,sprookje,BOEKV063,Broek in Waterland (Noord-Holland),J1882.2;K491,ATU 1675,tijdschriftartikel
818,"Bakker, C.",BOEKENOO.20E,1899-01-01 00:00:00,sprookje,BOEKV064,Broek in Waterland (Noord-Holland),R163;Q271.1;E341;L161;H11.1,ATU 0505,tijdschriftartikel
819,"Bakker, C.",BOEKENOO.20E,1901-01-01 00:00:00,sprookje,BOEKV065,Broek in Waterland (Noord-Holland),T251.2,ATU 0901,tijdschriftartikel
820,"Bakker, C.",BOEKENOO.20E,1902-01-01 00:00:00,sprookje,BOEKV066,Broek in Waterland (Noord-Holland),K1951.2;K1951.1,ATU 1640,tijdschriftartikel
821,"Bakker, C.",BOEKENOO.20E,1902-01-01 00:00:00,mop,BOEKV069,Broek in Waterland (Noord-Holland),N688;K1956;K1956.2,ATU 1641,tijdschriftartikel
822,G.J. Boekenoogen,BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV071,Zaanstreek (Noord-Holland),N776;K335.1.4;K1161;B296,ATU 0130,tijdschriftartikel
823,"Boekenoogen, G.J.",BOEKENOO.20E,1904-01-01 00:00:00,sprookje,BOEKV072,Leiden (Zuid-Holland),D1611,ATU 0313,tijdschriftartikel
824,"Boekenoogen, G.J.",BOEKENOO.20E,1893-01-01 00:00:00,sprookje,BOEKV073,Zaanstreek (Noord-Holland),D1761.0.2;D2172.2;K1811,ATU 0750A,tijdschriftartikel
825,"Boekenoogen, G.J.",BOEKENOO.20E,1898-01-01 00:00:00,sprookje,BOEKV075,Zaanstreek (Noord-Holland),D1761.0.2;D2172.2,ATU 0750A,tijdschriftartikel
826,"Bakker, C.",BOEKENOO.20E,1903-01-01 00:00:00,sprookje,BOEKV076,Broek in Waterland (Noord-Holland),D1761.0.2;J2071;K1811,ATU 0750A,tijdschriftartikel
827,"[Bakker, C.]",BOEKENOO.20E,1898-01-01 00:00:00,sprookje,BOEKV077,Zaanstreek (Noord-Holland),J2071,ATU 0750A,tijdschriftartikel
828,C. Bakker,BOEKENOO.20E,1901-04-23 00:00:00,mop,BOEKV080,Zuiderwoude (Noord-Holland),K1556,ATU 1360C,tijdschriftartikel
829,[C. Bakker],BOEKENOO.20E,1898-01-01 00:00:00,mop,BOEKV081,Waterland (Noord-Holland),K1556,ATU 1360C,tijdschriftartikel
830,[C. Bakker],BOEKENOO.20E,1898-01-01 00:00:00,mop,BOEKV082,Beets (Noord-Holland),K1556,ATU 1360C,tijdschriftartikel
831,C. Bakker,BOEKENOO.20E,1899-01-01 00:00:00,sprookje,BOEKV084,Broek in Waterland (Noord-Holland),X1061.1,ATU 1960H,tijdschriftartikel
832,"Onnekes, Joh.",BOEKENOO.20E,,sprookje,BOEKV085,Ulrum (Groningen),B301.8,ATU 0156A,tijdschriftartikel
833,"Onnekes, Joh.",BOEKENOO.20E,,sprookje,BOEKV086,Ulrum (Groningen),Q20.2;J21.2,ATU 0910B,almanak
834,"Onnekes, Joh.",BOEKENOO.20E,,sprookje,BOEKV087,Ulrum (Groningen),D2072,ATU 0952,tijdschriftartikel
835,"Onnekes, Joh.",BOEKENOO.20E,1874-01-01 00:00:00,sprookje,BOEKV091,Ulrum (Groningen),K312;F721.4;N455.3;N471;D1552.2;N478,ATU 0954,
836,C. Bakker,BOEKENOO.20E,1903-04-02 00:00:00,sprookje,BOEKV093,[Uitdam] Noord-Holland,D1552.2;N455.3,ATU 0954,
837,G.J. Boekenoogen,BOEKENOO.20E,1890-01-01 00:00:00,sage,BOEKV094,Drente,K413,ATU 0965*,tijdschriftartikel
838,C. Bakker,BOEKENOO.20E,1903-01-01 00:00:00,sprookje,BOEKV097,Uitdam (Noord-Holland),K1812.1,ATU 0952,tijdschriftartikel
839,C. Bakker,BOEKENOO.20E,1902-01-06 00:00:00,sprookje,BOEKV099,Broek (Noord-Holland),N321,ATU 0939A,tijdschriftartikel
840,[C. Bakker],BOEKENOO.20E,1901-10-02 00:00:00,sprookje,BOEKV098,Broek in Waterland (Noord-Holland),K1812.1,ATU 0952,tijdschriftartikel
841,[C. Bakker],BOEKENOO.20E,1903-04-02 00:00:00,sprookje,BOEKV103,Broek (Noord-Holland),N271.1;D1715,ATU 0960,tijdschriftartikel
842,[C. Bakker],BOEKENOO.20E,1903-04-02 00:00:00,sprookje,BOEKV104,Uitdam (Noord-Holland),K1728,ATU 1161,tijdschriftartikel
843,[C. Bakker],BOEKENOO.20E,1903-04-02 00:00:00,mop,BOEKV105,Uitdam (Noord-Holland),K111.2,ATU 1539,tijdschriftartikel
844,[C. Bakker],BOEKENOO.20E,1903-04-02 00:00:00,sprookje,BOEKV109,Uitdam (Noord-Holland),H57.2.1,ATU 0955,tijdschriftartikel
845,"[Bakker, C]",BOEKENOO.20E,1902-04-25 00:00:00,mop,BOEKV116,Broek (Noord-Holland),H1151,ATU 1525A,tijdschriftartikel
846,"Boekenoogen, G.J.",BOEKENOO.20E,1892-01-01 00:00:00,sage,BOEKV124,De Rijp (Noord-Holland),K724,ATU 1527A,tijdschriftartikel
847,[C. Bakker],BOEKENOO.20E,1899-01-01 00:00:00,sprookje,BOEKV126,Broek (Noord-Holland),H1578.1.4.1,ATU 0958F*,tijdschriftartikel
848,[C. Bakker],BOEKENOO.20E,1903-01-01 00:00:00,sprookje,BOEKV127,Uitdam (Noord-Holland),H1578.1.4.1,ATU 0958F*,tijdschriftartikel
849,"[Bakker, C.]",BOEKENOO.20E,1903-01-01 00:00:00,sprookje,BOEKV129,Uitdam (Noord-Holland),D2072,ATU 0952,tijdschriftartikel
850,"Boekenoogen, G.J.",BOEKENOO.20E,1891-01-01 00:00:00,mop,BOEKV136,Beverwijk (Noord-Holland),X424,ATU 1791,tijdschriftartikel
851,C. Bakker,BOEKENOO.20E,1903-04-02 00:00:00,mop,BOEKV164,Uitdam (Noord-Holland),K1363,ATU 1542**,tijdschriftartikel
852,"Boekenoogen, G.J.",BOEKENOO.20E,1892-03-29 00:00:00,sprookje,BOEKV194,Kampen (Overijssel),Z49.4,ATU 2013,tijdschriftartikel
853,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1647-01-01 00:00:00,sprookje,BOEKV195,Amsterdam (Noord-Holland),K2211;T475.2;K1932;H1331.1;H1324;H1242;H1381.2.1,ATU 0551,tijdschriftartikel
854,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1601-01-01 00:00:00,sprookje,BOEKV197,Amsterdam (Noord-Holland),K1951.2;K1951.3;K1951.1;K731,ATU 1640,tijdschriftartikel
855,Pater A. POIRTERS,BOEKENOO.20E,1646-01-01 00:00:00,sprookje,BOEKV198,Antwerpen (Vlaanderen),A2741.1;F1025.1,ATU 0295,almanak
856,Jan Vos,BOEKENOO.20E,,sprookje,BOEKV199,Amsterdam (Noord-Holland),A2793.1;A2741.1;F1025.1,ATU 0295,almanak
857,DANIEL BELLEMANS,BOEKENOO.20E,1681-01-01 00:00:00,sprookje,BOEKV200,Brussel (België),F1025.1,ATU 0295,tijdschriftartikel
858,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1656-01-01 00:00:00,sprookje,BOEKV201,Amsterdam (Noord-Holland),J2071,ATU 0750A,tijdschriftartikel
859,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1654-01-01 00:00:00,sprookje,BOEKV202,Amsterdam (Noord-Holland),K1571,ATU 1358C,tijdschriftartikel
860,C. Bakker,BOEKENOO.20E,1901-10-02 00:00:00,mop,BOEKV203,[Broek in] Waterland (Noord-Holland),K1571,ATU 1358C,tijdschriftartikel
861,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1647-01-01 00:00:00,mop,BOEKV204,Amsterdam (Noord-Holland),N688;K1956;K1956.2;N611.1,ATU 1641,tijdschriftartikel
862,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1750-01-01 00:00:00,mop,BOEKV205,"Enkhuizen, Amsterdam [E109p] (Noord-Holland)",N688;K1956;K1956.2;N611.1,ATU 1641,tijdschriftartikel
863,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1778-01-01 00:00:00,mop,BOEKV206,Amsterdam (Noord-Holland),K1956.2;N611.1;K1956,ATU 1641,tijdschriftartikel
864,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1620-01-01 00:00:00,mop,BOEKV207,Amsterdam (Noord-Holland),J2063,ATU 1450,tijdschriftartikel
865,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1669-01-01 00:00:00,mop,BOEKV208,Amsterdam (Noord-Holland),J2063,ATU 1450,tijdschriftartikel
866,Opgetekend door G.J. Boekenoogen,BOEKENOO.20E,1620-01-01 00:00:00,mop,BOEKV209,Amsterdam (Noord-Holland),J2061.1.2,ATU 1430,tijdschriftartikel
867,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,sprookje,CLUCHT007,Antwerpen (Vlaanderen),J22.1;K1111,ATU 0157A,kluchtboek
868,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT013,Antwerpen (Vlaanderen),J1804,ATU 0924,kluchtboek
869,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT016,Antwerpen (Vlaanderen),J2102.4,ATU 1282,kluchtboek
870,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT031,Antwerpen (Vlaanderen),M215,ATU 1186,kluchtboek
871,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT032,Antwerpen (Vlaanderen),X424,ATU 1791,kluchtboek
872,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT050,Antwerpen (Vlaanderen),K134.1,ATU 1631,kluchtboek
873,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT051,Antwerpen (Vlaanderen),J1161.1,ATU 1591,kluchtboek
874,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT060,Antwerpen (Vlaanderen),J1192.1,ATU 1861A,kluchtboek
875,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT063,Antwerpen (Vlaanderen),K441.2,ATU 1861A,kluchtboek
876,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT070,Antwerpen (Vlaanderen),J2516.3.1,ATU 1562B,kluchtboek
877,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT093,Antwerpen (Vlaanderen),K187,ATU 1610,kluchtboek
878,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT100,Antwerpen (Vlaanderen),J2072.1,ATU 0775,kluchtboek
879,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT120,Antwerpen (Vlaanderen),K1513,ATU 1418,kluchtboek
880,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT122,Antwerpen (Vlaanderen),J1532.1,ATU 1362,kluchtboek
881,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT141,Antwerpen (Vlaanderen),J133.2,ATU 1621A*,kluchtboek
882,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT149,Antwerpen (Vlaanderen),J1341.2,ATU 1567C,kluchtboek
883,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT155,Antwerpen (Vlaanderen),J1474,ATU 0921D,kluchtboek
884,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT168,Antwerpen (Vlaanderen),X435.4,ATU 1833D,kluchtboek
885,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT177,Antwerpen (Vlaanderen),K2137,ATU 1741,kluchtboek
886,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT186,Antwerpen (Vlaanderen),D1316.5,ATU 0782,kluchtboek
887,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT198,Antwerpen (Vlaanderen),J1488,ATU 0179,kluchtboek
888,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT200,Antwerpen (Vlaanderen),J1791.4,ATU 0034A,kluchtboek
889,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT203,Antwerpen (Vlaanderen),L451.2;L451.3,ATU 0201,kluchtboek
890,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT205,Antwerpen (Vlaanderen),P236.2,ATU 0982,kluchtboek
891,Willem Kuiper,CLUCHTBOECK.16E,1554-01-01 00:00:00,mop,CLUCHT252,Antwerpen (Vlaanderen),K187,ATU 1610,kluchtboek
892,Theo van de Voort (hs.),NED_LIMB.20E,1967-01-01 00:00:00,mop,VVUNL030,Castenray (Limburg),K1556,ATU 1360C,almanak
893,"A.F. van Beurden, in: Buiten  jg. 12 (17-8-1918), 391",NED_LIMB.20E,1918-01-01 00:00:00,mop,VVUNL034,Roermond (Limburg),K1971.3.1,ATU 1380A*,almanak
894,"H.T. in: Veldeke jg. 26 N°143 (1951), 15f",NED_LIMB.20E,1941-01-01 00:00:00,sprookje,VVUNL043,Tegelen (Limburg),J1762.2,ATU 0116,tijdschriftartikel
895,"A.G. Koenderink, in: Stramproyer Heemstudies III (1967), 68",NED_LIMB.20E,1942-12-22 00:00:00,sage,VVUNL177,Stramproy (Limburg),H1023.13,ATU 1176,
896,"Jacques Cuijpers, De Maasgouw, jg. 13, N°46 (15-10-1891), 183",NED_LIMB.20E,1891-01-01 00:00:00,sage,VVUNL277,Midden Limburg,M215,ATU 1186,almanak
897,"hs. J. Jeuken, Nunhem. Brief aan Welters, 22-6-1874",NED_LIMB.20E,1874-01-01 00:00:00,sprookje,VVUNL284,Het Leudal (Limburg),D2011.1,ATU 0471A,almanak
898,Volkskunde-vragenlijst 1 (1934),NED_LIMB.20E,1934-01-01 00:00:00,sprookje,VVUNL316,Sittard (Limburg),F344.1,ATU 0503,almanak
899,"W.J. Vromen, in: Veldeke jg. 33 N°182 (1958), 22f",NED_LIMB.20E,1958-01-01 00:00:00,sage,VVUNL317,Brunssum (Limburg),K223,ATU 1182,almanak
900,Hs. J.W.H. Goossens (Rijksarchief Maastricht),NED_LIMB.20E,1919-01-01 00:00:00,mop,VVUNL338,Maastricht (Limburg),K406.1,ATU 1525M,almanak
901,"'t Daghet in den Oosten jg. 10 (1894), 137-139",NED_LIMB.20E,1894-01-01 00:00:00,sprookje,VVUNL345,Meerssen (Limburg),H507.1.0.1;L161;H507.1,ATU 0853,almanak
902,"'t Daghet in den Oosten jg. 8 (1892), 71",NED_LIMB.20E,1882-01-01 00:00:00,sprookje,vvunl352,Limburg,K1413;K335.1.1;K335.1.1.1,ATU 1653,tijdschriftartikel
903,"Thomas Daniëls, Onderzoek naar de sagenmotieven in Budel, Maarheze, etc., Leuven (KU), sept. 1965, N°687",NED_LIMB.20E,1965-01-01 00:00:00,sage,VVUNL354,Kinrooi (Limburg),H1021.4,ATU 1176,tijdschriftartikel
904,"Ds. Römer, in: Cadsandria 1846, 102-105",ZEEUWSAG.20E,1836-01-01 00:00:00,sage,ZEEUW189,'t land van Terneuzen (Zeeland),E511,ATU 0777*,boek
905,"Wever, F.",Wever.20E,1967-03-24 00:00:00,sage,WEV015702,Ter Apel (Groningen),H1023.13,ATU 1176,mondeling
906,Rob Oudkerk,DIVTEXT4.21E,2003-05-07 00:00:00,sage,DVTEX647,Amsterdam (Noord-Holland),K912,ATU 0956B,almanak
907,Theo Meder,DIVTEXT4.21E,2003-06-04 00:00:00,mop,DVTEX659,Katwijk aan Zee (Zuid-Holland),X610,ATU 1855,tijdschriftartikel
908,J.R.W. Sinninghe,DIVTEXT4.21E,1943-01-01 00:00:00,sage,DVTEX703,Dordrecht (Zuid-Holland),K406.1,ATU 1525M,boek
909,Jozef Cornelissen,DIVTEXT4.21E,1930-01-01 00:00:00,sage,DVTEX705,Dordrecht (Zuid-Holland),K406.1,ATU 1525M,boek
910,,DIVTEXT4.21E,1985-01-01 00:00:00,sage,DVTEX706,Dordrecht (Zuid-Holland),K406.1,ATU 1525M,boek
911,Gerard Gast,DIVTEXT4.21E,1991-01-01 00:00:00,sage,DVTEX707,Dordrecht (Zuid-Holland),K406.1,ATU 1525M,boek
912,Theo Meder,DIVTEXT4.21E,2003-07-11 00:00:00,mop,DVTEX718,,K1354.1,ATU 1563,email
913,Journalist van NRC-Handelsblad,DIVTEXT4.21E,2003-07-25 00:00:00,sprookje,DVTEX730,Almelo (Overijssel),H1578.1.4.1,ATU 0958F*,krant
914,mdash;146,ZEEUWSAG.20E,1903-01-01 00:00:00,sage,ZEEUW308,(Zeeland),J1964.1,ATU 1244,boek
915,P. A. Eggermont,ZEEUWSAG.20E,1923-01-01 00:00:00,sprookje,ZEEUW389,Hulst (Zeeland),F92;F96;F451.5.2,ATU 0301,boek
916,mdash;238.,ZEEUWSAG.20E,1901-01-01 00:00:00,sprookje,ZEEUW391,Brouwershaven (Zeeland),N821;D895;D1470.1;D1376.1,ATU 0566,boek
917,"Vos, K. de",ZEEUWSAG.20E,1923-01-01 00:00:00,sage,ZEEUW397,Noord Beveland (Zeeland),B523.1,ATU 0967,boek
918,"Pen, K. Johan",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK351,Leiden (Zuid-Holland),H542,ATU 0927,tijdschriftartikel
919,"Schilling, Leo",cboekeno.19E,1892-02-24 00:00:00,sprookje,CBOEK362,Nieuwediep (Drente),Z23,ATU 2010IA,almanak
920,"Verheul, J.",CBOEKENO.19E,1893-11-27 00:00:00,sprookje,CBOEK365,Rotterdam (Zuid-Holland),Z41,ATU 2030,almanak
921,"Weij, Anna van de",CBOEKENO.19E,1892-03-20 00:00:00,sprookje,CBOEK367,Joure (Friesland),N271;E631,ATU 0780,almanak
922,"Wittop Koning Tasman, Mevr. A.J.",CBOEKENO.19E,1892-02-03 00:00:00,sprookje,CBOEK368,Haarlem (Noord Holland),H542,ATU 0927,almanak
923,"Bruijn, J.J.",CBOEKENO.19E,1892-03-16 00:00:00,sprookje,CBOEK374,Enkhuizen (Noord-Holland),H542,ATU 0927,almanak
924,"Bruijn, J.J.",CBOEKENO.19E,1892-03-16 00:00:00,sprookje,CBOEK375,Enkhuizen (Noord-Holland),H542,ATU 0927,almanak
925,"Buuren, Marie van",CBOEKENO.19E,1892-04-01 00:00:00,sprookje,CBOEK376,Rossum (Overijssel),B236.1;B242.1.2,ATU 0221,almanak
926,"Gast, M.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK378,Enkhuizen (Noord-Holland),H542,ATU 0927,almanak
927,"Grouwman, Mevr. F.G.",CBOEKENO.19E,1892-09-15 00:00:00,sprookje,CBOEK380,Groningen (Groningen),Z23,ATU 2010IA,almanak
928,Wilhelm Grimm,DIVTEXT5_21E.doc,1801-01-01 00:00:00,sprookje,DVTEX797,Hessen (Duitsland),H521;S222.1;N475;H1021.8;H914,ATU 0500,boek
929,"Huth, Mej. W.",CBOEKENO.19E,1892-03-29 00:00:00,sprookje,CBOEK391,Amsterdam (Noord-Holland),Z23,ATU 2010IA,almanak
930,"Huth, Mej. W.",CBOEKENO.19E,1892-03-29 00:00:00,sprookje,CBOEK392,Amsterdam (Noord-Holland),G61,ATU 0720,almanak
931,"Joman, A.",CBOEKENO.19E,1892-02-12 00:00:00,sprookje,CBOEK394,Alkmaar (Noord-Holland),Z23,ATU 2010IA,almanak
932,"Joman, A.",CBOEKENO.19E,1892-02-12 00:00:00,sprookje,CBOEK395,Alkmaar (Noord-Holland),H542,ATU 0927,almanak
933,"Joman, A.",CBOEKENO.19E,1892-02-12 00:00:00,sprookje,CBOEK397,Alkmaar (Noord-Holland),H542,ATU 0927,almanak
934,"Kalis, Mej. A.",CBOEKENO.19E,1894-01-28 00:00:00,sprookje,CBOEK399,Beverwijk (Noord-Holland),H542,ATU 0927,almanak
935,"Kriek, S.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK401,Groot Schermer (Noord-Holland),Z23,ATU 2010IA,
936,"Lambooij, A.C.G.",CBOEKENO.19E,1894-02-12 00:00:00,sprookje,CBOEK403,Haarlem (Noord-Holland),Z41,ATU 2030,almanak
937,"Lissen, A.S. van",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK405,Schiedam (Zuid-Holland),Z44,ATU 2035,almanak
938,"Niemeyer, Mej.",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK411,Hilversum (Noord-Holland),X1791,ATU 1965,almanak
939,"Nooteboom, Auguste",CBOEKENO.19E,1894-01-29 00:00:00,mop,CBOEK413,Watergraafsmeer (Noord-Holland),K261,ATU 1546,almanak
940,"Peaux, A.",CBOEKENO.19E,1892-03-17 00:00:00,sprookje,CBOEK416,Wijk aan Zee (Noord-Holland),H542,ATU 0927,almanak
941,"Pels, C.",CBOEKENO.19E,1893-11-22 00:00:00,sprookje,CBOEK418,Ierseke (Zeeland),Z41,ATU 2030,almanak
942,"Siedzes, M.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK423,Amsterdam (Noord-Holland),H542,ATU 0927,almanak
943,"Simonis, L.J.A.N.",CBOEKENO.19E,1896-02-09 00:00:00,legende,CBOEK425,Haaren bij Oisterwijk (Noord-Brabant),B11.11;B11.10;R111.1.3,ATU 0300,
944,Journalist van De Telegraaf,DIVTEXT5_21E.doc,1963-05-08 00:00:00,sage,DVTEX880,Rome (Italië),N211.1,ATU 0736A,almanak
945,Tj.R.W. de Haan,DIVTEXT5_21E,,sage,DVTEX882,Dordrecht (Zuid-Holland),K406.1,ATU 1525M,boek
946,"Breen, J.",cboekeno.19E,1893-01-16 00:00:00,sprookje,CBOEK433,Amsterdam (Noord-Holland),A2741.1;F1025.1,ATU 0295,almanak
947,"Oostveen, Saskia van",HUBKUNST.20E,1934-01-01 00:00:00,sprookje,HUBKUNST06,Roermond (Limburg),D845;R135;D1391,ATU 0562,boek
948,Mr. de M.,DIVTEXT5_21E.doc,1894-01-01 00:00:00,sprookje,DVTEX889,Herk-de-Stad (Vlaanderen),F848.1;N455;R41.2;G204,ATU 0310,boek
949,"Ketel, A.P.",cboekeno.19E,1908-01-01 00:00:00,sprookje,CBOEK434,Moordrecht (Zuid-Holland),K912,ATU 0956B,almanak
950,"Ketel, A.P.",cboekeno.19E,1908-01-01 00:00:00,sprookje,CBOEK435,Moordrecht (Zuid-Holland),Z41,ATU 2030,almanak
951,Gerrits Arends,cboekeno.19E,1804-01-01 00:00:00,sprookje,CBOEK441,Ezinge (Groningen),F912;N261,ATU 0248,almanak
952,"Onnekes, Joh.",cboekeno.19E,1881-01-01 00:00:00,sprookje,CBOEK442,Ulrum (Groningen),F913;F535.1;F911.3.1,ATU 0700,almanak
953,"Onnekes, Joh.",cboekeno.19E,1881-01-01 00:00:00,sprookje,CBOEK443,Ulrum (Groningen),K1571,ATU 1358C,
