,collector,corpus,date,genre,idnumber,location,motifs,storytype,tradition
535,Ilja Hijink,LOMBOK03.20E,2000-06-06 00:00:00,sprookje,LOMBO524,Utrecht (Utrecht; wijk Lombok),J711.1,ATU 0280A,mondeling
536,Ilja Hijink,LOMBOK03.20E,2000-06-06 00:00:00,sprookje,LOMBO525,Utrecht (Utrecht; wijk Lombok),K1023,ATU 0049,mondeling
537,Ilja Hijink,LOMBOK03.20E,2000-06-06 00:00:00,sprookje,LOMBO529,Utrecht (Utrecht; wijk Lombok),G100;K603;F531.1.1.1,ATU 1137,mondeling
538,Theo Meder en Ilja Hijink,LOMBOK03.20E,2000-05-24 00:00:00,sprookje,LOMBO548,Utrecht (Utrecht; wijk Lombok),K11.1,ATU 0275C,mondeling
539,Ilja Hijink,LOMBOK03.20E,2000-05-30 00:00:00,sprookje,LOMBO551,Utrecht (Utrecht; wijk Lombok),K11.3,ATU 0275A,mondeling
540,Ilja Hijink,LOMBOK03.20E,2000-05-30 00:00:00,sprookje,LOMBO552,Utrecht (Utrecht; wijk Lombok),K2011;F913;Q426;Z18.1,ATU 0333,mondeling
541,Ilja Hijink,LOMBOK03.20E,2000-05-30 00:00:00,sprookje,LOMBO553,Utrecht (Utrecht; wijk Lombok),K1111,ATU 0038,mondeling
542,Ilja Hijink,LOMBOK03.20E,2000-06-05 00:00:00,sprookje,LOMBO556,Utrecht (Utrecht; wijk Lombok),S215.1;B211.7.1;D789,ATU 0440,mondeling
543,Ilja Hijink,LOMBOK03.20E,2000-06-05 00:00:00,sprookje,LOMBO557,Utrecht (Utrecht; wijk Lombok),D735.1;C761.2,ATU 0425C,mondeling
544,Ilja Hijink,LOMBOK03.20E,2000-06-08 00:00:00,sprookje,LOMBO559,Utrecht (Utrecht; wijk Lombok),Z81,ATU 0124,mondeling
545,Ilja Hijink,LOMBOK03.20E,2000-06-09 00:00:00,sprookje,LOMBO560,Utrecht (Utrecht: wijk Lombok),K11.1,ATU 0275C,mondeling
546,Ilja Hijink,LOMBOK03.20E,2000-06-08 00:00:00,sprookje,LOMBO568,Utrecht (Utrecht: wijk Lombok),D150;K1911.3,ATU 0408,mondeling
547,Ilja Hijink,LOMBOK03.20E,2000-06-09 00:00:00,sprookje,LOMBO572,Utrecht (Utrecht: wijk Lombok),K2011;F913;Q426;Z18.1,ATU 0333,mondeling
548,Ilja Hijink,LOMBOK03.20E,2000-06-14 00:00:00,sprookje,LOMBO575,Utrecht (Utrecht: wijk Lombok),N815;N711.6;C761.3;D1050.1;S31;F823.2;H36.1,ATU 0510A,mondeling
549,Ilja Hijink,LOMBOK03.20E,2000-06-14 00:00:00,sprookje,LOMBO576,Utrecht (Utrecht: wijk Lombok),Z18.1;K2011;J21.5;F913;Q426,ATU 0333,mondeling
550,Ilja Hijink,LOMBOK03.20E,2000-06-09 00:00:00,sprookje,LOMBO586,Utrecht (Utrecht; wijk Lombok),Z81,ATU 0124,mondeling
